year,e_inc_num,source
1990,8751909.568016503,IHME (1990-2019)
1991,8643097.53564963,IHME (1990-2019)
1992,8544017.44033306,IHME (1990-2019)
1993,8469446.848930638,IHME (1990-2019)
1994,8436602.883397074,IHME (1990-2019)
1995,8461185.29322284,IHME (1990-2019)
1996,8530636.753608689,IHME (1990-2019)
1997,8612542.569119643,IHME (1990-2019)
1998,8700488.33947519,IHME (1990-2019)
1999,8790465.682883883,IHME (1990-2019)
2000,8876358.860954067,IHME (1990-2019)
2001,8934957.935090106,IHME (1990-2019)
2002,8954192.134097176,IHME (1990-2019)
2003,8950773.406853333,IHME (1990-2019)
2004,8944139.237505533,IHME (1990-2019)
2005,8951725.452961348,IHME (1990-2019)
2006,8946528.230898384,IHME (1990-2019)
2007,8896344.032662628,IHME (1990-2019)
2008,8820342.572707081,IHME (1990-2019)
2009,8743807.813347591,IHME (1990-2019)
2010,8696110.01844352,IHME (1990-2019)
2011,8645499.81490674,IHME (1990-2019)
2012,8556465.298392942,IHME (1990-2019)
2013,8457461.028507415,IHME (1990-2019)
2014,8380891.867362743,IHME (1990-2019)
2015,8360248.442234172,IHME (1990-2019)
2016,8374046.070892108,IHME (1990-2019)
2017,8418469.714954553,IHME (1990-2019)
2018,8470548.97099103,IHME (1990-2019)
2019,8493832.40023192,IHME (1990-2019)
