year,e_inc_num,source
2000,11287010,WHO (2000-2021)
2001,11442469,WHO (2000-2021)
2002,11594545,WHO (2000-2021)
2003,11742201,WHO (2000-2021)
2004,11817757,WHO (2000-2021)
2005,11871293,WHO (2000-2021)
2006,11876137,WHO (2000-2021)
2007,11836003,WHO (2000-2021)
2008,11778656,WHO (2000-2021)
2009,11748437,WHO (2000-2021)
2010,11629028,WHO (2000-2021)
2011,11508867,WHO (2000-2021)
2012,11430028,WHO (2000-2021)
2013,11298039,WHO (2000-2021)
2014,11194203,WHO (2000-2021)
2015,11073502,WHO (2000-2021)
2016,10884752,WHO (2000-2021)
2017,10669173,WHO (2000-2021)
2018,10517440,WHO (2000-2021)
2019,10344553,WHO (2000-2021)
2020,10107781,WHO (2000-2021)
2021,10561049,WHO (2000-2021)
