year,e_prev_100k,source
1990,43574.26735469569,IHME (1990-2019)
1991,43191.6783588345,IHME (1990-2019)
1992,42785.171461306985,IHME (1990-2019)
1993,42378.08124459632,IHME (1990-2019)
1994,41973.661921522165,IHME (1990-2019)
1995,41593.4755481764,IHME (1990-2019)
1996,41170.04726461109,IHME (1990-2019)
1997,40650.323822963735,IHME (1990-2019)
1998,40090.470655885685,IHME (1990-2019)
1999,39551.20159213699,IHME (1990-2019)
2000,39089.661045594,IHME (1990-2019)
2001,38656.39590303664,IHME (1990-2019)
2002,38151.83151207341,IHME (1990-2019)
2003,37617.63353637452,IHME (1990-2019)
2004,37091.59765582708,IHME (1990-2019)
2005,36612.300608792975,IHME (1990-2019)
2006,36056.86137142793,IHME (1990-2019)
2007,35345.470257178305,IHME (1990-2019)
2008,34579.66008809877,IHME (1990-2019)
2009,33854.31418227061,IHME (1990-2019)
2010,33273.368090825956,IHME (1990-2019)
2011,32740.108452171662,IHME (1990-2019)
2012,32132.177034158212,IHME (1990-2019)
2013,31504.129085684865,IHME (1990-2019)
2014,30913.197211359282,IHME (1990-2019)
2015,30419.827811811556,IHME (1990-2019)
2016,29862.55067228648,IHME (1990-2019)
2017,29372.775413164698,IHME (1990-2019)
2018,28908.50963438045,IHME (1990-2019)
2019,28286.17760227284,IHME (1990-2019)
