iso3,year,e_prev_100k,e_prev_100k_lo,e_prev_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,c_cdr,c_cdr_lo,c_cdr_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi
AFG,1990,205.13698775059405,179.954546291922,234.6585698605219,23000,19000,27000,19,16,23,0.1,0.08,0.12
AFG,1991,206.94372683536332,180.8443824866303,238.21839396878815,24000,21000,28000,95,83,110,0.12,0.1,0.15
AFG,1992,208.5396066615437,180.21858769786368,241.88148337362531,26000,24000,29000,NA,NA,NA,0.14,0.12,0.17
AFG,1993,210.5926175931797,180.49304947382683,246.166351529859,28000,26000,30000,NA,NA,NA,0.16,0.13,0.2
AFG,1994,212.0254027671729,181.37744513243265,249.35371613328735,30000,28000,32000,NA,NA,NA,0.18,0.14,0.21
AFG,1995,212.42146016230706,180.8429231016461,251.31080707120424,32000,29000,34000,NA,NA,NA,0.19,0.16,0.23
AFG,1996,211.595006044763,179.83175209456394,251.02652366050253,33000,31000,35000,NA,NA,NA,0.2,0.17,0.25
AFG,1997,209.33696565550716,177.21515807764084,250.33284569957158,34000,32000,37000,3.8000000000000003,3.5,4.1000000000000005,0.22,0.18,0.26
AFG,1998,205.90178460769346,173.97303861015772,246.5495883949497,35000,32000,38000,8.8,8.200000000000001,9.5,0.23,0.19,0.28
AFG,1999,201.6018461498498,169.44219082520235,241.58944560423828,36000,33000,39000,9.200000000000001,8.5,9.9,0.24,0.2,0.29
AFG,2000,196.75907892426815,164.98045283078005,237.00480716727424,37000,24000,53000,19,13,30,0.02,0,0.05
AFG,2001,191.35992100232866,160.25153804068472,230.09408227736617,37000,24000,53000,27,19,42,0.01,0,0.04
AFG,2002,185.39307346732016,155.6729602303359,221.91136156792695,40000,26000,57000,35,24,54,0.01,0,0.04
AFG,2003,179.33535497163118,151.10441744529197,214.5277141063398,43000,28000,61000,32,23,50,0.01,0,0.04
AFG,2004,173.08701142495252,146.16839769097066,209.0496909598369,44000,29000,64000,41,29,64,0.01,0,0.04
AFG,2005,166.9729286095242,140.29450250980082,201.64996430627932,46000,30000,66000,47,33,73,0.02,0,0.05
AFG,2006,160.52319237083842,136.00780206812448,191.2499064955309,48000,31000,69000,53,37,82,0.02,0,0.05
AFG,2007,153.50755013079615,130.59433911283256,181.07536275374187,49000,32000,70000,59,41,91,0.02,0,0.06
AFG,2008,146.81044991218474,124.70265858144622,172.23619129626547,50000,32000,72000,57,40,88,0.02,0,0.06
AFG,2009,141.16712086968667,119.77173302843543,165.7136248941639,52000,34000,74000,50,35,78,0.02,0,0.07
AFG,2010,137.20580170758797,115.76762940052132,161.66238970763956,53000,34000,76000,53,37,81,0.02,0,0.07
AFG,2011,135.95790171890002,115.56487501348828,158.6851978825537,55000,36000,79000,51,35,78,0.03,0,0.08
AFG,2012,136.7306471780615,116.38808246442638,160.59711860921095,58000,37000,82000,50,35,77,0.03,0,0.08
AFG,2013,138.0570394463308,116.64868018847294,163.80499760289206,60000,39000,85000,51,36,79,0.03,0,0.09
