measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,24,Marshall Islands,3,Both,22,All ages,297,Tuberculosis,1,Number,1992,62.822465086681696,71.95240169212094,53.726291773126064
6,Incidence,24,Marshall Islands,3,Both,22,All ages,297,Tuberculosis,2,Percent,1992,0.0002561640647631721,0.00029675669606268434,0.00021632248595079815
6,Incidence,24,Marshall Islands,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,132.2630853479562,151.4847695464427,113.11248459310512
6,Incidence,11,Indonesia,3,Both,22,All ages,934,Drug-susceptible tuberculosis,1,Number,1992,678179.6081984836,785359.5301904756,584192.7590668405
6,Incidence,11,Indonesia,3,Both,22,All ages,934,Drug-susceptible tuberculosis,2,Percent,1992,0.0006431446832313102,0.0007507281253919691,0.000547816156566654
6,Incidence,11,Indonesia,3,Both,22,All ages,934,Drug-susceptible tuberculosis,3,Rate,1992,354.75433013499685,410.8199224508635,305.59000655150635
6,Incidence,11,Indonesia,3,Both,22,All ages,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1992,5269.153696811631,24042.03651809055,461.8491983440342
6,Incidence,11,Indonesia,3,Both,22,All ages,946,Multidrug-resistant tuberculosis without extensive drug resistance,2,Percent,1992,5.00040951069273e-06,2.2842033649974526e-05,4.3001155988580314e-07
6,Incidence,11,Indonesia,3,Both,22,All ages,946,Multidrug-resistant tuberculosis without extensive drug resistance,3,Rate,1992,2.756283243396601,12.576338859130294,0.24159234663094006
6,Incidence,11,Indonesia,3,Both,22,All ages,947,Extensively drug-resistant tuberculosis,1,Number,1992,27.237298746799198,112.4855998336908,2.67971474964666
6,Incidence,11,Indonesia,3,Both,22,All ages,947,Extensively drug-resistant tuberculosis,2,Percent,1992,2.5846351104743652e-08,1.0526887750288176e-07,2.5816739351173592e-09
6,Incidence,11,Indonesia,3,Both,22,All ages,947,Extensively drug-resistant tuberculosis,3,Rate,1992,0.014247773826870347,0.05884098126282105,0.0014017531631318923
6,Incidence,12,Lao People's Democratic Republic,3,Both,22,All ages,297,Tuberculosis,1,Number,1992,8163.726693049923,9459.542623401241,7047.109793457248
6,Incidence,12,Lao People's Democratic Republic,3,Both,22,All ages,297,Tuberculosis,2,Percent,1992,0.0003388323535036574,0.0004003365497200621,0.00028811635985963796
6,Incidence,12,Lao People's Democratic Republic,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,185.64922258227804,215.11704152387213,160.25652300696095
6,Incidence,48,Hungary,3,Both,22,All ages,934,Drug-susceptible tuberculosis,1,Number,1992,1961.3467190655088,2276.48735509809,1662.2187072708712
6,Incidence,48,Hungary,3,Both,22,All ages,934,Drug-susceptible tuberculosis,2,Percent,1992,3.657178400775237e-05,4.27475027181091e-05,3.0508416360101063e-05
6,Incidence,48,Hungary,3,Both,22,All ages,934,Drug-susceptible tuberculosis,3,Rate,1992,18.92524568655128,21.96607161740672,16.038927291178346
6,Incidence,97,Argentina,3,Both,22,All ages,297,Tuberculosis,1,Number,1992,6636.897904941068,7677.142731447072,5711.805348904837
6,Incidence,97,Argentina,3,Both,22,All ages,297,Tuberculosis,2,Percent,1992,3.765373415212999e-05,4.439131612528697e-05,3.1813270481402773e-05
6,Incidence,97,Argentina,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,19.571351904910017,22.63889910217128,16.84337383170226
6,Incidence,11,Indonesia,3,Both,22,All ages,954,Latent tuberculosis infection,1,Number,1992,0.0,0.0,0.0
6,Incidence,11,Indonesia,3,Both,22,All ages,954,Latent tuberculosis infection,2,Percent,1992,0.0,0.0,0.0
6,Incidence,11,Indonesia,3,Both,22,All ages,954,Latent tuberculosis infection,3,Rate,1992,0.0,0.0,0.0
6,Incidence,367,Monaco,3,Both,22,All ages,297,Tuberculosis,1,Number,1992,6.630209452091234,7.804060829728489,5.685574396849212
6,Incidence,367,Monaco,3,Both,22,All ages,297,Tuberculosis,2,Percent,1992,4.389832137271561e-05,5.17533138425937e-05,3.738679857910728e-05
6,Incidence,367,Monaco,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,21.362954031567057,25.145177383869573,18.319280161599483
6,Incidence,182,Malawi,3,Both,22,All ages,297,Tuberculosis,1,Number,1992,32740.166506229038,36994.77039295365,28955.31569543978
6,Incidence,182,Malawi,3,Both,22,All ages,297,Tuberculosis,2,Percent,1992,0.00048624117989566406,0.0005560142590515583,0.0004217856658703446
6,Incidence,182,Malawi,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,324.3249852692828,366.47120778852576,286.83214957395677
6,Incidence,133,Venezuela (Bolivarian Republic of),3,Both,22,All ages,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,1992,41.619518020342575,156.6561957484075,6.0697877588260365
