iso3,g_whoregion,country,a,b
AFG,EMR,Afghanistan,2.18353203935215,1.94238076025822
ALB,EUR,Albania,1.9206468435417,1.99000329086719
DZA,AFR,Algeria,2.59043329895441,1.80139081367433
AGO,AFR,Angola,2.65056127460499,1.92846055475264
ATG,AMR,Antigua and Barbuda,2.21366944239138,2.011464801199
ARG,AMR,Argentina,2.33654243697937,2.03619202886228
ARM,EUR,Armenia,2.1518538539919,1.91082025585092
AUS,WPR,Australia,2.39295225642676,2.01622839236317
AUT,EUR,Austria,2.11415142874215,1.95607829268039
AZE,EUR,Azerbaijan,2.31857654476266,1.85635420999105
BHS,AMR,Bahamas,2.30957366296561,1.95964114050102
BHR,EMR,Bahrain,2.35116488254951,1.8989144056996
BGD,SEA,Bangladesh,2.09970216607862,1.9972359008568
BRB,AMR,Barbados,2.29719356946381,2.05410993770245
BLR,EUR,Belarus,2.16584435136578,1.82855148329398
BEL,EUR,Belgium,2.18011569232381,1.92040859054108
BLZ,AMR,Belize,2.23495522953748,1.97546464668512
BEN,AFR,Benin,2.45464403439225,1.92675261520395
BTN,SEA,Bhutan,2.14730437254301,1.96689663176563
BOL,AMR,Bolivia (Plurinational State of),2.33784483561111,2.01687640136448
BIH,EUR,Bosnia and Herzegovina,1.76883980326814,2.04225885250984
BWA,AFR,Botswana,2.32600902378602,2.03230551181715
BRA,AMR,Brazil,2.08814975164221,2.08616919687658
BGR,EUR,Bulgaria,2.16827094430371,1.90908959544916
BFA,AFR,Burkina Faso,2.49894343841353,1.89631428564943
BDI,AFR,Burundi,2.75404345922262,1.85962031449708
KHM,WPR,Cambodia,2.36011543505613,1.93308466748424
CMR,AFR,Cameroon,2.45587713698498,1.90633996542298
CAN,AMR,Canada,2.32216451621675,2.01820452328112
CPV,AFR,Cabo Verde,2.04585880470248,1.93869154884811
CAF,AFR,Central African Republic,2.52432173290516,1.99531704625893
TCD,AFR,Chad,2.60171000685155,1.89986935354354
CHL,AMR,Chile,2.26923847958226,2.06137306943858
CHN,WPR,China,2.25463624590969,1.8895012387518
COL,AMR,Colombia,2.26134511252987,2.02572386171887
COM,AFR,Comoros,2.55712886751484,1.9665327470687
COG,AFR,Congo,2.57254661854846,1.91190230635102
CRI,AMR,Costa Rica,2.17516498582656,2.06609789633056
HRV,EUR,Croatia,2.0612850937428,1.92957430129243
CUB,AMR,Cuba,1.93743536624803,2.06387463954799
CYP,EUR,Cyprus,2.19833235580582,1.96966651962401
CZE,EUR,Czech Republic,2.34787017820244,1.86111036932842
CIV,AFR,Côte d'Ivoire,2.54635691355918,1.9353500899694
PRK,SEA,Democratic People's Republic of Korea,2.02220268822945,1.96664194340848
COD,AFR,Democratic Republic of the Congo,2.5975309708818,1.9193865922498
DNK,EUR,Denmark,2.0486000342681,1.94517413683724
DJI,EMR,Djibouti,2.40586837799543,1.92675247659094
DOM,AMR,Dominican Republic,2.20041346326123,1.97813152139348
ECU,AMR,Ecuador,2.2938498706113,2.02292981738928
EGY,EMR,Egypt,2.32058194538919,1.92541774360478
SLV,AMR,El Salvador,2.23163389742932,2.02936223088987
GNQ,AFR,Equatorial Guinea,2.6459713556068,1.94243686146538
ERI,AFR,Eritrea,2.50971747181453,1.88722386089444
