iso3,year,births
GBR,1961,101169
GBR,1962,104334
GBR,1963,102691
GBR,1964,104355
GBR,1965,100660
GBR,1966,96536
GBR,1967,96221
GBR,1968,94786
GBR,1969,90290
GBR,1970,87335
GBR,1971,86728
GBR,1972,78550
GBR,1973,74392
GBR,1974,70093
GBR,1975,67943
GBR,1976,64895
GBR,1977,62342
GBR,1978,64295
GBR,1979,68366
GBR,1980,68892
GBR,1981,69054
GBR,1982,66196
GBR,1983,65078
GBR,1984,65106
GBR,1985,66676
GBR,1986,65812
GBR,1987,66241
GBR,1988,66212
GBR,1989,63480
GBR,1990,65973
GBR,1991,67024
GBR,1992,65789
GBR,1993,63337
GBR,1994,61656
GBR,1995,60051
GBR,1996,59296
GBR,1997,59440
GBR,1998,57319
GBR,1999,55147
GBR,2000,53076
GBR,2001,52527
GBR,2002,51270
GBR,2003,52432
GBR,2004,53957
GBR,2005,54386
GBR,2006,55690
GBR,2007,57781
GBR,2008,60041
GBR,2009,59046
GBR,2010,58791
GBR,2011,58590
GBR,2012,58027
GBR,2013,56014
GBR,2014,56725
GBR,2015,55098
GBR,2016,54488
GBR,2017,52861
GBR,2018,51308
GBR,2019,49863
GBR,2020,46809
GBR,2021,47786
GBR,2022,46959
GBR,2023,45935
