Year,Sex,Age_band,Population
1961,Persons,0-4,470056
1961,Persons,10-14,448361
1961,Persons,15-19,376370
1961,Persons,20-24,333558
1961,Persons,25-29,326724
1961,Persons,30-34,331906
1961,Persons,35-39,345357
1961,Persons,40-44,322347
1961,Persons,45-49,340548
1961,Persons,5-9,421296
1961,Persons,50-54,342694
1961,Persons,55-59,313216
1961,Persons,60-64,260727
1961,Persons,65-69,204985
1961,Persons,70-74,154353
1961,Persons,75-79,105605
1961,Persons,80+,85733
1962,Persons,0-4,477656
1962,Persons,10-14,423790
1962,Persons,15-19,397417
1962,Persons,20-24,336581
1962,Persons,25-29,324903
1962,Persons,30-34,329912
1962,Persons,35-39,337443
1962,Persons,40-44,333671
1962,Persons,45-49,328383
1962,Persons,5-9,427806
1962,Persons,50-54,342210
1962,Persons,55-59,314978
1962,Persons,60-64,267023
1962,Persons,65-69,207823
1962,Persons,70-74,155375
1962,Persons,75-79,105679
1962,Persons,80+,86878
1963,Persons,0-4,481230
1963,Persons,10-14,411512
1963,Persons,15-19,404461
1963,Persons,20-24,340036
1963,Persons,25-29,324972
1963,Persons,30-34,326638
1963,Persons,35-39,332735
1963,Persons,40-44,344617
1963,Persons,45-49,311683
1963,Persons,5-9,435481
1963,Persons,50-54,340191
1963,Persons,55-59,317032
1963,Persons,60-64,274391
1963,Persons,65-69,209204
1963,Persons,70-74,157114
1963,Persons,75-79,106475
1963,Persons,80+,87328
1964,Persons,0-4,483365
1964,Persons,10-14,405298
1964,Persons,15-19,406723
1964,Persons,20-24,341101
1964,Persons,25-29,323538
1964,Persons,30-34,322149
1964,Persons,35-39,327686
1964,Persons,40-44,354261
1964,Persons,45-49,296135
1964,Persons,5-9,442452
1964,Persons,50-54,336509
1964,Persons,55-59,320511
1964,Persons,60-64,279555
1964,Persons,65-69,213076
1964,Persons,70-74,158398
1964,Persons,75-79,108288
1964,Persons,80+,89455
1965,Persons,0-4,485488
1965,Persons,10-14,403384
1965,Persons,15-19,410425
1965,Persons,20-24,337518
1965,Persons,25-29,321495
1965,Persons,30-34,317486
1965,Persons,35-39,324120
1965,Persons,40-44,341296
1965,Persons,45-49,302101
1965,Persons,5-9,448842
1965,Persons,50-54,334792
1965,Persons,55-59,320625
1965,Persons,60-64,282885
1965,Persons,65-69,218221
1965,Persons,70-74,161381
1965,Persons,75-79,108146
1965,Persons,80+,91695
1966,Persons,0-4,480584
1966,Persons,10-14,406600
1966,Persons,15-19,411018
1966,Persons,20-24,337284
1966,Persons,25-29,315619
1966,Persons,30-34,311877
1966,Persons,35-39,319948
1966,Persons,40-44,332928
1966,Persons,45-49,310719
1966,Persons,5-9,453299
1966,Persons,50-54,325002
1966,Persons,55-59,321710
1966,Persons,60-64,284937
1966,Persons,65-69,224496
1966,Persons,70-74,162609
1966,Persons,75-79,108664
1966,Persons,80+,93306
1967,Persons,0-4,475442
1967,Persons,10-14,413132
1967,Persons,15-19,390367
1967,Persons,20-24,356080
1967,Persons,25-29,311806
1967,Persons,30-34,307704
1967,Persons,35-39,316587
1967,Persons,40-44,324938
1967,Persons,45-49,320419
1967,Persons,5-9,458412
1967,Persons,50-54,313731
1967,Persons,55-59,320657
1967,Persons,60-64,287195
1967,Persons,65-69,230001
1967,Persons,70-74,165576
1967,Persons,75-79,110239
1967,Persons,80+,96014
1968,Persons,0-4,468243
1968,Persons,10-14,421144
1968,Persons,15-19,383402
1968,Persons,20-24,365070
1968,Persons,25-29,311800
1968,Persons,30-34,306422
1968,Persons,35-39,312671
1968,Persons,40-44,320632
1968,Persons,45-49,330788
1968,Persons,5-9,461675
1968,Persons,50-54,297360
1968,Persons,55-59,318571
1968,Persons,60-64,289545
1968,Persons,65-69,236916
1968,Persons,70-74,166875
1968,Persons,75-79,111765
1968,Persons,80+,97321
1969,Persons,0-4,460113
1969,Persons,10-14,428876
1969,Persons,15-19,383012
1969,Persons,20-24,371867
1969,Persons,25-29,313683
1969,Persons,30-34,305580
1969,Persons,35-39,308321
1969,Persons,40-44,316328
1969,Persons,45-49,340485
1969,Persons,5-9,465393
1969,Persons,50-54,282460
1969,Persons,55-59,315500
1969,Persons,60-64,292544
1969,Persons,65-69,241798
1969,Persons,70-74,170359
1969,Persons,75-79,112446
1969,Persons,80+,99735
1970,Persons,0-4,449246
1970,Persons,10-14,436328
1970,Persons,15-19,385415
1970,Persons,20-24,380867
1970,Persons,25-29,313572
1970,Persons,30-34,303707
1970,Persons,35-39,303921
1970,Persons,40-44,313724
1970,Persons,45-49,327933
1970,Persons,5-9,469001
1970,Persons,50-54,288833
1970,Persons,55-59,313272
1970,Persons,60-64,292886
1970,Persons,65-69,245033
1970,Persons,70-74,174696
1970,Persons,75-79,114126
1970,Persons,80+,101140
1971,Persons,0-4,443406
1971,Persons,10-14,443534
1971,Persons,15-19,392819
